URL,Title,Comment Count,Share Count,Digg Count,Collect Count,Timestamp
https://www.iesdouyin.com/share/video/7474057914995477787/?region=CN&mid=7474058005898644275&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=h0rUqbOg0hGGMvLVBO2nOXbWi8k.ZpQv8nZ8ykRmeX4-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,一穿四电竞指套，暴力测试指套耐用性 #小五哥哥 #指套,1083,2376,105982,8798,2025-02-22 10:02:22
https://www.iesdouyin.com/share/video/7473754916717219111/?region=CN&mid=7473755596701879077&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=dpw4NifA5fTivcw0uqLLOZpMDEhDfBd6jpstfnhqny0-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,刺激！！ #小五哥哥 #抖音精选计划 #和平精英大唐西安 #游戏 #每日精选爆款,7462,50248,417994,22724,2025-02-21 17:00:00
https://www.iesdouyin.com/share/video/7471159527669239052/?region=CN&mid=7471160101018159891&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=25KEwq26PyImF0ynI3qoL41yT3vfwYIO9dxlMikDZBM-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,这游戏还有后羿？ #小五哥哥 #玩的就是和平精英 #和平玩家过年方式 ##和平精英大唐西安 #抖音精选计划 #每日精选爆款,5722,42206,376976,20366,2025-02-14 17:00:01
https://www.iesdouyin.com/share/video/7467514910398844211/?region=CN&mid=7467514706492771126&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=H4MQtIjYXonN5.X.L.sTlSrr1hAM3PuQ2kN66nwvrWc-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,一穿肆电竞指套，暴力测试肥皂水、醋、油 #小五哥哥 #和平精英 #指套,984,1177,65452,4531,2025-02-04 18:52:25
https://www.iesdouyin.com/share/video/7467484834760281356/?region=CN&mid=7467485541232102163&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=Q0AKTMbYIYeZYLEgXOie5yOlrEFB9q2307N6QnbyOeM-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,躲不过就加入，师夷长技以制夷 #大吉大利和平年 #玩的就是和平精英 #和平玩家过年方式 #和平精英大唐西安 #抖音精选计划,15221,158710,798772,44624,2025-02-04 16:58:19
https://www.iesdouyin.com/share/video/7465981829200252196/?region=CN&mid=7465943310553697074&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=UfqLtn6cDioVSS3WIYz5R9Zl_A7MmJQknFeZShtqc.w-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,新年撞大运啦！ #大吉大利和平年  #和平精英大唐西安 #和平玩家过年方式 #玩的就是和平精英 #抖音精选计划,11296,72807,655523,41286,2025-02-01 10:00:01
https://www.iesdouyin.com/share/video/7464477078545550631/?region=CN&mid=7464478039397714715&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=gOjmlS7BI5pxolKKbAKqzV6nLXkxpMirYznrw.jjxQY-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,放鞭炮咯～ #小五哥哥 #玩的就是和平精英 #和平玩家过年方式 #和平精英大唐西安 #大吉大利和平年,9034,72731,791391,44373,2025-01-30 10:00:00
https://www.iesdouyin.com/share/video/7463703863405645097/?region=CN&mid=7463408328761183013&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=K7kMYuD5PNZ_4QqTif45Hc00_pURM_kdDjki_Tj8RGU-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,燃起来了 #小五哥哥  #抖音精选计划 #玩的就是和平精英 #和平玩家过年方式 #大吉大利和平年,3424,13644,283786,14259,2025-01-28 10:00:00
https://www.iesdouyin.com/share/video/7463100738604993811/?region=CN&mid=7463101673775303443&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=XhqssCCIktP92K4OONnjsLIT9SInAtX8De108jUB1K8-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,决战新版本，一口气鲨穿大唐西安城 #大吉大利和平年 #和平精英大唐西安 #和平精英新春荣都 #玩的就是和平精英#和平玩家过年方式,7068,46568,483570,26687,2025-01-24 10:00:00
https://www.iesdouyin.com/share/video/7462968109301910810/?region=CN&mid=7462968301489179418&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=gI5dK4cfez.xn5rrUFyUVF3gwKFoTjcB3C78_aOJnYQ-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,全新黑科技，就差你了 #萤火突击 #过年就玩萤火突击 #萤火突击春节版本上线 #小五哥哥,2792,3817,180296,16095,2025-01-23 13:52:14
